season_id,game_id,date,team,opponent_team,is_home,points,opp_points,margin,possessions_est,fgm,fga,3pm,3pa,ftm,fta,oreb,dreb,rebounds,assists,turnovers,steals,blocks,fouls,off_rating,def_rating,win
MH-2025,G001,2025-12-05,River City Rapids,Pine Valley Pioneers,1,78,85,-7,70.9,33,68,7,19,5,15,7,26,33,22,10,7,5,15,110.0,119.9,0
MH-2025,G001,2025-12-05,Pine Valley Pioneers,River City Rapids,0,85,78,7,70.9,36,55,2,3,11,12,6,32,38,23,10,10,2,14,119.9,110.0,1
MH-2025,G002,2025-12-08,Pine Valley Pioneers,River City Rapids,1,67,66,1,69.3,29,60,3,7,6,19,3,31,34,22,10,9,3,11,96.7,95.2,1
MH-2025,G002,2025-12-08,River City Rapids,Pine Valley Pioneers,0,66,67,-1,69.3,24,56,5,13,13,14,8,34,42,20,9,10,6,17,95.2,96.7,0
MH-2025,G003,2025-12-11,Lakeshore Lynx,River City Rapids,1,69,66,3,81.5,33,68,2,11,1,7,4,25,29,25,11,7,0,18,84.7,81.0,1
MH-2025,G003,2025-12-11,River City Rapids,Lakeshore Lynx,0,66,69,-3,81.5,27,72,5,16,7,14,5,30,35,21,15,7,4,18,81.0,84.7,0
MH-2025,G004,2025-12-14,River City Rapids,Lakeshore Lynx,1,77,80,-3,67.8,32,60,3,11,10,14,2,24,26,20,11,5,2,24,113.6,118.0,0
MH-2025,G004,2025-12-14,Lakeshore Lynx,River City Rapids,0,80,77,3,67.8,34,48,3,6,9,10,4,27,31,19,12,10,4,16,118.0,113.6,1
MH-2025,G005,2025-12-17,Lakeshore Lynx,River City Rapids,1,74,70,4,85.0,35,74,0,7,4,11,6,28,34,23,17,5,5,19,87.1,82.4,1
MH-2025,G005,2025-12-17,River City Rapids,Lakeshore Lynx,0,70,74,-4,85.0,27,74,12,28,4,17,3,33,36,17,11,7,0,14,82.4,87.1,0
MH-2025,G006,2025-12-20,River City Rapids,Desert Mesa Meteors,1,82,55,27,71.3,33,68,9,20,7,14,6,29,35,22,10,6,5,15,115.0,77.1,1
MH-2025,G006,2025-12-20,Desert Mesa Meteors,River City Rapids,0,55,82,-27,71.3,23,53,2,10,7,8,3,28,31,22,11,7,0,18,77.1,115.0,0
MH-2025,G007,2025-12-23,Desert Mesa Meteors,River City Rapids,1,69,76,-7,67.2,27,59,6,13,9,10,5,37,42,24,8,6,1,14,102.7,113.1,0
MH-2025,G007,2025-12-23,River City Rapids,Desert Mesa Meteors,0,76,69,7,67.2,28,53,5,10,15,18,7,24,31,22,14,3,2,13,113.1,102.7,1
MH-2025,G008,2025-12-26,River City Rapids,Desert Mesa Meteors,1,88,63,25,73.0,37,60,3,18,11,12,3,33,36,18,18,8,2,14,120.5,86.3,1
MH-2025,G008,2025-12-26,Desert Mesa Meteors,River City Rapids,0,63,88,-25,73.0,31,60,0,4,1,6,10,30,40,22,13,7,4,18,86.3,120.5,0
MH-2025,G009,2025-12-29,Pine Valley Pioneers,Lakeshore Lynx,1,76,57,19,64.9,29,56,4,9,14,18,6,30,36,19,11,5,3,17,117.1,87.8,1
MH-2025,G009,2025-12-29,Lakeshore Lynx,Pine Valley Pioneers,0,57,76,-19,64.9,23,52,3,12,8,11,5,33,38,25,9,6,4,18,87.8,117.1,0
MH-2025,G010,2026-01-01,Pine Valley Pioneers,Lakeshore Lynx,1,69,79,-10,66.0,31,55,1,5,6,6,8,19,27,25,7,4,3,15,104.5,119.7,0
MH-2025,G010,2026-01-01,Lakeshore Lynx,Pine Valley Pioneers,0,79,69,10,66.0,32,67,5,10,10,12,12,26,38,20,15,5,2,17,119.7,104.5,1
MH-2025,G011,2026-01-04,Lakeshore Lynx,Pine Valley Pioneers,1,62,92,-30,76.9,24,63,4,13,10,13,5,17,22,23,10,3,6,15,80.6,119.6,0
MH-2025,G011,2026-01-04,Pine Valley Pioneers,Lakeshore Lynx,0,92,62,30,76.9,42,74,3,8,5,14,10,25,35,17,10,6,4,18,119.6,80.6,1
MH-2025,G012,2026-01-07,Desert Mesa Meteors,Pine Valley Pioneers,1,79,72,7,65.8,32,57,6,12,9,10,10,28,38,21,6,7,5,18,120.1,109.4,1
MH-2025,G012,2026-01-07,Pine Valley Pioneers,Desert Mesa Meteors,0,72,79,-7,65.8,29,62,3,10,11,12,3,33,36,20,10,5,5,18,109.4,120.1,0
MH-2025,G013,2026-01-10,Pine Valley Pioneers,Desert Mesa Meteors,1,67,62,5,71.9,27,55,4,10,9,13,6,33,39,19,11,5,9,18,93.2,86.2,1
MH-2025,G013,2026-01-10,Desert Mesa Meteors,Pine Valley Pioneers,0,62,67,-5,71.9,30,65,1,13,1,14,7,25,32,15,14,8,2,17,86.2,93.2,0
MH-2025,G014,2026-01-13,Desert Mesa Meteors,Pine Valley Pioneers,1,64,63,1,71.6,28,51,2,8,6,10,4,26,30,18,12,8,4,15,89.4,88.0,1
MH-2025,G014,2026-01-13,Pine Valley Pioneers,Desert Mesa Meteors,0,63,64,-1,71.6,26,64,3,9,8,13,1,24,25,15,11,4,5,16,88.0,89.4,0
MH-2025,G015,2026-01-16,Lakeshore Lynx,Desert Mesa Meteors,1,79,69,10,65.5,34,59,0,2,11,11,7,25,32,22,13,4,5,17,120.6,105.3,1
MH-2025,G015,2026-01-16,Desert Mesa Meteors,Lakeshore Lynx,0,69,79,-10,65.5,28,57,4,12,9,14,12,22,34,22,10,11,3,14,105.3,120.6,0
MH-2025,G016,2026-01-19,Desert Mesa Meteors,Lakeshore Lynx,1,70,65,5,74.3,26,54,5,10,13,14,6,33,39,20,15,7,1,13,94.2,87.5,1
MH-2025,G016,2026-01-19,Lakeshore Lynx,Desert Mesa Meteors,0,65,70,-5,74.3,26,61,1,2,12,26,8,33,41,14,15,6,4,20,87.5,94.2,0
